hr,rr,dngr
92.79174064,26.04656029,F
105.8172679,24.36784501,F
119.5046898,23.0215658,F
100.6366836,25.14903677,F
94.81348234,23.57131074,F
94.98337654,27.14311994,F
84.49111824,23.29772311,F
79.69865317,23.99707887,F
85.8353138,25.85996796,F
88.5811794,26.02520686,F
102.7472492,28.62694913,F
80.32480751,25.61682372,F
93.75428213,25.37589451,F
94.81215221,24.86395057,F
102.13203,23.88008093,F
109.2780669,26.57099942,F
83.14923208,26.17342797,F
87.20603286,27.79636842,F
97.35876372,23.52268716,F
106.0021789,26.97698272,F
98.76678816,22.28341802,F
100.8924134,24.55069944,F
98.39910708,26.6684769,F
97.94227462,24.23565386,F
79.9225182,26.18730729,F
99.86679651,22.24242177,F
101.3518814,24.36955888,F
91.09264326,25.62233662,F
93.10212323,25.68165442,F
76.18779042,25.70783687,F
105.7180726,29.27818577,F
95.06702603,24.34733625,F
96.14515574,22.96912746,F
83.66565824,28.0828797,F
88.67732308,22.33144902,F
94.21086885,25.18843195,F
93.03782801,25.90072979,F
99.27630767,27.80249151,F
90.01801086,24.55639155,F
92.82571283,28.22212563,F
95.48373178,24.49813634,F
87.8246728,26.09733935,F
76.93014393,25.78595459,F
105.9788565,22.99300473,F
78.62444659,23.67246504,F
86.1717422,27.14203681,F
97.37872402,24.83015682,F
98.41339722,26.11237188,F
96.73420751,24.94026655,F
111.6807353,25.34302651,F
102.3268621,27.43192081,F
89.51971772,25.81761246,F
109.6930608,26.35199157,F
102.5161693,27.38628332,F
107.2871052,24.76863629,F
90.59579708,26.154637,F
98.69004856,20.86231743,F
98.37808579,25.30627828,F
82.19749511,26.0948991,F
109.0712637,25.58609592,F
85.35486459,25.28220631,F
94.44714651,25.4848651,F
96.74837515,25.86266642,F
93.70874853,25.63304416,F
94.34475061,23.44583746,F
100.4261202,26.26479034,F
91.99990612,24.32435687,F
83.46511338,28.99066045,F
98.17363046,23.76804819,F
85.91477046,24.4489097,F
86.39590233,26.14852274,F
87.14407932,26.60987084,F
109.0486005,26.12804097,F
97.94024733,23.51690231,F
77.45442038,21.47037396,F
87.53147841,25.8753885,F
